source_file,cable_id,section,terminal_context,record_text,related_cable,pair_low,pair_high
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:461-463 G4,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:609-609 G4,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG53:3126-3175 G4,PG53,3126,3175
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG63:501-550 G4,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3126 - 3150 lsp/bp 576 sys:type SLC96,ca PG53 3126 - 3150 lsp/bp 576 sys:type SLC96,PG53,3126,3150
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,PG53,3151,3175
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 51 - 54 lsp/bp 97,CA4434,51,54
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 55 - 58 lsp/bp 197,CA4434,55,58
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 59 - 62 lsp/bp 297,CA4434,59,62
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 63 - 66 lsp/bp 397,CA4434,63,66
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG63 501 - 550 lsp/bp 526 sys:type SLC5,ca PG63 501 - 550 lsp/bp 526 sys:type SLC5,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca MRA4434A 1 - 144 lsp/bp 601 sys:type ASAM3,ca MRA4434A 1 - 144 lsp/bp 601 sys:type ASAM3,MRA4434A,1,144
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 411 - 411 lsp/bp 111 sys:type ISLC96,ca PG31 411 - 411 lsp/bp 111 sys:type ISLC96,PG31,411,411
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 413 - 413 lsp/bp 113 sys:type ISLC96,ca PG31 413 - 413 lsp/bp 113 sys:type ISLC96,PG31,413,413
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 458 - 458 lsp/bp 158 sys:type ISLC96,ca PG31 458 - 458 lsp/bp 158 sys:type ISLC96,PG31,458,458
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 461 - 463 lsp/bp 161 sys:type ISLC96,ca PG31 461 - 463 lsp/bp 161 sys:type ISLC96,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 76 - 96,DD,76,96
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 301 - 308,DD,301,308
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 310 - 396,DD,310,396
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 101 - 110,DD,101,110
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 112 - 112,DD,112,112
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 114 - 157,DD,114,157
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 159 - 160,DD,159,160
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 164 - 196,DD,164,196
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 201 - 296,DD,201,296
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 1 - 50,DD,1,50
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 401 - 525,DD,401,525
"ACR 6680P, 1-1200.pdf",6680P,OUT COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,ca 6680P 1 - 1200 lsp/bp 1,6680P,1,1200
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,CA4434:51-66 G4,CA4434,51,66
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,MRA4434A:1-144 G4,MRA4434A,1,144
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:411-411 G4,PG31,411,411
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:413-413 G4,PG31,413,413
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:458-458 G4,PG31,458,458
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:461-463 G4,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:609-609 G4,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG53:3126-3175 G4,PG53,3126,3175
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG63:501-550 G4,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3126 - 3150 lsp/bp 576 sys:type SLC96,ca PG53 3126 - 3150 lsp/bp 576 sys:type SLC96,PG53,3126,3150
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,PG53,3151,3175
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 51 - 54 lsp/bp 97,CA4434,51,54
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 55 - 58 lsp/bp 197,CA4434,55,58
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 59 - 62 lsp/bp 297,CA4434,59,62
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 63 - 66 lsp/bp 397,CA4434,63,66
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG63 501 - 550 lsp/bp 526 sys:type SLC5,ca PG63 501 - 550 lsp/bp 526 sys:type SLC5,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca MRA4434A 1 - 144 lsp/bp 601 sys:type ASAM3,ca MRA4434A 1 - 144 lsp/bp 601 sys:type ASAM3,MRA4434A,1,144
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 411 - 411 lsp/bp 111 sys:type ISLC96,ca PG31 411 - 411 lsp/bp 111 sys:type ISLC96,PG31,411,411
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 413 - 413 lsp/bp 113 sys:type ISLC96,ca PG31 413 - 413 lsp/bp 113 sys:type ISLC96,PG31,413,413
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 458 - 458 lsp/bp 158 sys:type ISLC96,ca PG31 458 - 458 lsp/bp 158 sys:type ISLC96,PG31,458,458
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 461 - 463 lsp/bp 161 sys:type ISLC96,ca PG31 461 - 463 lsp/bp 161 sys:type ISLC96,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 76 - 96,DD,76,96
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 301 - 308,DD,301,308
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 310 - 396,DD,310,396
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 101 - 110,DD,101,110
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 112 - 112,DD,112,112
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 114 - 157,DD,114,157
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 159 - 160,DD,159,160
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 164 - 196,DD,164,196
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 201 - 296,DD,201,296
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 1 - 50,DD,1,50
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 401 - 525,DD,401,525
"ACR 6680P, 1-1200.pdf",6680P,OUT COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,ca 6680P 1 - 1200 lsp/bp 1,6680P,1,1200
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,CA4434:51-66 G4,CA4434,51,66
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,MRA4434A:1-144 G4,MRA4434A,1,144
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:411-411 G4,PG31,411,411
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:413-413 G4,PG31,413,413
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:458-458 G4,PG31,458,458
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:461-463 G4,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:609-609 G4,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG53:3126-3175 G4,PG53,3126,3175
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG63:501-550 G4,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3126 - 3150 lsp/bp 576 sys:type SLC96,ca PG53 3126 - 3150 lsp/bp 576 sys:type SLC96,PG53,3126,3150
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,PG53,3151,3175
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 51 - 54 lsp/bp 97,CA4434,51,54
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 55 - 58 lsp/bp 197,CA4434,55,58
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 59 - 62 lsp/bp 297,CA4434,59,62
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 63 - 66 lsp/bp 397,CA4434,63,66
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG63 501 - 550 lsp/bp 526 sys:type SLC5,ca PG63 501 - 550 lsp/bp 526 sys:type SLC5,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca MRA4434A 1 - 144 lsp/bp 601 sys:type ASAM3,ca MRA4434A 1 - 144 lsp/bp 601 sys:type ASAM3,MRA4434A,1,144
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 411 - 411 lsp/bp 111 sys:type ISLC96,ca PG31 411 - 411 lsp/bp 111 sys:type ISLC96,PG31,411,411
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 413 - 413 lsp/bp 113 sys:type ISLC96,ca PG31 413 - 413 lsp/bp 113 sys:type ISLC96,PG31,413,413
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 458 - 458 lsp/bp 158 sys:type ISLC96,ca PG31 458 - 458 lsp/bp 158 sys:type ISLC96,PG31,458,458
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 461 - 463 lsp/bp 161 sys:type ISLC96,ca PG31 461 - 463 lsp/bp 161 sys:type ISLC96,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 76 - 96,DD,76,96
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 301 - 308,DD,301,308
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 310 - 396,DD,310,396
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 101 - 110,DD,101,110
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 112 - 112,DD,112,112
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 114 - 157,DD,114,157
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 159 - 160,DD,159,160
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 164 - 196,DD,164,196
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 201 - 296,DD,201,296
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 1 - 50,DD,1,50
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 401 - 525,DD,401,525
"ACR 6680P, 1-1200.pdf",6680P,OUT COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,ca 6680P 1 - 1200 lsp/bp 1,6680P,1,1200
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,CA4434:51-66 G4,CA4434,51,66
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,MRA4434A:1-144 G4,MRA4434A,1,144
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:411-411 G4,PG31,411,411
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:413-413 G4,PG31,413,413
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:458-458 G4,PG31,458,458
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:461-463 G4,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:609-609 G4,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG53:3126-3175 G4,PG53,3126,3175
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG63:501-550 G4,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3126 - 3150 lsp/bp 576 sys:type SLC96,ca PG53 3126 - 3150 lsp/bp 576 sys:type SLC96,PG53,3126,3150
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,PG53,3151,3175
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 51 - 54 lsp/bp 97,CA4434,51,54
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 55 - 58 lsp/bp 197,CA4434,55,58
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 59 - 62 lsp/bp 297,CA4434,59,62
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 63 - 66 lsp/bp 397,CA4434,63,66
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG63 501 - 550 lsp/bp 526 sys:type SLC5,ca PG63 501 - 550 lsp/bp 526 sys:type SLC5,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca MRA4434A 1 - 144 lsp/bp 601 sys:type ASAM3,ca MRA4434A 1 - 144 lsp/bp 601 sys:type ASAM3,MRA4434A,1,144
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 411 - 411 lsp/bp 111 sys:type ISLC96,ca PG31 411 - 411 lsp/bp 111 sys:type ISLC96,PG31,411,411
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 413 - 413 lsp/bp 113 sys:type ISLC96,ca PG31 413 - 413 lsp/bp 113 sys:type ISLC96,PG31,413,413
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 458 - 458 lsp/bp 158 sys:type ISLC96,ca PG31 458 - 458 lsp/bp 158 sys:type ISLC96,PG31,458,458
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 461 - 463 lsp/bp 161 sys:type ISLC96,ca PG31 461 - 463 lsp/bp 161 sys:type ISLC96,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 76 - 96,DD,76,96
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 301 - 308,DD,301,308
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 310 - 396,DD,310,396
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 101 - 110,DD,101,110
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 112 - 112,DD,112,112
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 114 - 157,DD,114,157
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 159 - 160,DD,159,160
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 164 - 196,DD,164,196
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 201 - 296,DD,201,296
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 1 - 50,DD,1,50
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 401 - 525,DD,401,525
"ACR 6680P, 1-1200.pdf",6680P,OUT COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,ca 6680P 1 - 1200 lsp/bp 1,6680P,1,1200
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,CA4434:51-66 G4,CA4434,51,66
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,MRA4434A:1-144 G4,MRA4434A,1,144
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:411-411 G4,PG31,411,411
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:413-413 G4,PG31,413,413
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:458-458 G4,PG31,458,458
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:461-463 G4,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:609-609 G4,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG53:3126-3175 G4,PG53,3126,3175
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG63:501-550 G4,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,1 S 6340 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,ca 6680P 1151 - 1200 lsp/bp 1,6680P,1151,1200
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,1 S 6340 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,6680P:1151-1200 G4,6680P,1151,1200
"ACR,MD2010,1-168 1.pdf",MD2010,IN COUNT,ca MD2010 1 - 168 sys:type DM203,ca MD2010 1 - 168 sys:type DM203,MD2010,1,168
"ACR,MD2010,1-168 1.pdf",MD2010,IN COUNT,ca MD2015 169 - 336 sys:type DM203,ca MD2015 169 - 336 sys:type DM203,MD2015,169,336
"ACR,MD2010,1-168 1.pdf",MD2010,OUT COUNT,ca MD2011 1 - 14 sys:type DM203,ca MD2011 1 - 14 sys:type DM203,MD2011,1,14
"ACR,MD2010,1-168 1.pdf",MD2010,OUT COUNT,ca MD2011 15 - 112 sys:type DM203,ca MD2011 15 - 112 sys:type DM203,MD2011,15,112
"ACR,MD2010,1-168 1.pdf",MD2010,OUT COUNT,ca MD2011 113 - 168 sys:type DM203,ca MD2011 113 - 168 sys:type DM203,MD2011,113,168
"ACR,MD2010,1-168 1.pdf",MD2010,IN COUNT,ca MD2010 1 - 168 sys:type DM203,ca MD2010 1 - 168 sys:type DM203,MD2010,1,168
"ACR,MD2010,1-168 1.pdf",MD2010,OUT COUNT,ca MD2012 1 - 8 sys:type DM203,ca MD2012 1 - 8 sys:type DM203,MD2012,1,8
"ACR,MD2010,1-168 1.pdf",MD2010,OUT COUNT,ca MD2012 9 - 24 sys:type DM203,ca MD2012 9 - 24 sys:type DM203,MD2012,9,24
"ACR,MD2010,1-168 1.pdf",MD2010,OUT COUNT,ca MD2012 25 - 32 sys:type DM203,ca MD2012 25 - 32 sys:type DM203,MD2012,25,32
"ACR,MD2010,1-168 1.pdf",MD2010,OUT COUNT,ca MD2012 33 - 168 sys:type DM203,ca MD2012 33 - 168 sys:type DM203,MD2012,33,168
"ACR,MD2010,1-168 1.pdf",MD2010,IN COUNT,ca MD2010 1 - 168 sys:type DM203,ca MD2010 1 - 168 sys:type DM203,MD2010,1,168
"ACR,MD2010,1-168 1.pdf",MD2010,IN COUNT,ca MD2017 1 - 168 sys:type DM203,ca MD2017 1 - 168 sys:type DM203,MD2017,1,168
"ACR,MD2010,1-168 1.pdf",MD2010,OUT COUNT,ca MD2013 1 - 8 sys:type DM201,ca MD2013 1 - 8 sys:type DM201,MD2013,1,8
"ACR,MD2010,1-168 1.pdf",MD2010,OUT COUNT,ca MD2013 9 - 112 sys:type DM201,ca MD2013 9 - 112 sys:type DM201,MD2013,9,112
"ACR,MD2010,1-168 1.pdf",MD2010,IN COUNT,ca MD2010 1 - 168 sys:type DM203,ca MD2010 1 - 168 sys:type DM203,MD2010,1,168
"ACR,MD2010,1-168 1.pdf",MD2010,IN COUNT,ca MD2015 169 - 336 sys:type DM203,ca MD2015 169 - 336 sys:type DM203,MD2015,169,336
